ICAO24,Callsign,Origin,TimePos,LastContact,Long,Lat,Alt,OnGround,Speed,Heading,VertRate,Sensors,GeoAlt,Squawk,SPI,Source
c01e10,JZA7915 ,Canada,2025-05-01 12:50:45,2025-05-01 12:50:45,-73.9386,45.2626,853.44,No,114.91,294.04,-0.65,No Data,876.3,No Data,False,0
a77721,JIA5350 ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-75.1489,44.7659,5814.06,No,219.09,46.71,-11.7,No Data,5928.36,1717,False,0
c01cea,CFYKR   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-74.5968,45.2243,388.62,No,51.17,347.22,-0.33,No Data,373.38,No Data,False,0
c04c84,CGCZJ   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.1549,45.4319,487.68,No,44.92,283.24,0.98,No Data,495.3,No Data,False,0
c05f08,JZA7984 ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-75.2037,46.2327,6400.8,No,205.22,120.42,0.0,No Data,6507.48,No Data,False,0
c05db1,CGJMM   ,Canada,2025-05-01 12:50:45,2025-05-01 12:50:45,-73.4077,45.5159,No Data,Yes,0.0,233.44,No Data,No Data,No Data,No Data,False,0
a85d00,RPA3420 ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.5416,44.8613,4625.34,No,180.67,355.26,-8.78,No Data,4701.54,7142,False,0
c05ed0,ACA452  ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-76.1383,45.0791,1821.18,No,146.83,52.69,-5.85,No Data,1828.8,6306,False,0
c05d88,CGJKX   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-74.0522,44.2212,2042.16,No,46.99,174.98,-0.65,No Data,2057.4,No Data,False,0
485b45,KLM147  ,Kingdom of the Netherlands,2025-05-01 12:50:46,2025-05-01 12:50:46,-77.8129,44.9032,10180.32,No,218.05,234.02,-4.23,No Data,10408.92,2543,False,0
